year_week,WIND_DIRECTION_DEG,WIND_SPEED_MS,BAROMETRIC_PRESSURE_HPA,TEMP_2M_C,RELATIVE_HUMIDITY_PCT,total_ozone,mu,value
1978-W10,187.940476,6.638095,681.66369,6.85988,18.700599,247.8,1.1414,336.27
1978-W11,158.232143,4.721429,679.003571,4.0875,36.011905,266.6,1.1108,336.735
1978-W12,224.27381,3.656548,679.158333,4.491791,31.095808,260,1.101,337.2
1978-W13,178.583333,4.157143,681.527381,6.772289,20.065868,261,1.095167,338.01
1978-W14,171.688623,5.553892,680.471429,4.450943,34.02994,279.6,1.0622,337.915
1978-W15,216.012195,3.485976,679.247619,4.012162,38.446429,286.2,1.053,338.055
1978-W16,225.166667,5.177381,679.880952,5.309868,37.289157,276.2,1.1636,336.785
1978-W17,176.238095,3.988095,681.143452,6.433939,31.006061,285.4,1.0516,338.145
1978-W18,124.684524,4.086905,681.064881,6.696622,50.971631,270.75,1.0895,337.985
1978-W19,170.85119,7.111905,681.450595,8.305952,28.386905,295.8,1.021,338.155
1978-W20,264.676647,5.916766,680.169643,6.104762,69.944444,282.2,1.0694,344.635
1978-W21,234.625,2.580357,682.3375,4.698214,81.962264,277,1.0935,339.465
1978-W22,171.692771,2.527108,680.619048,5.038037,57.987952,287.5,1.0445,338.685
1978-W23,165.303571,3.35,681.274405,7.289759,39.945783,281.4,1.0642,338.01
1978-W24,152.940476,6.777976,681.535119,9.675,16.071429,266.4,1.109,337.335
1978-W25,182.517857,3.115476,680.545238,5.095833,67.738095,265.6,1.165,337.555
1978-W26,201.988095,3.183929,682.253571,8.015244,45.650307,260.4,1.104,337.59
1978-W27,145.797619,4.289286,681.566667,6.941317,50.712575,261,1.137667,336.92
1978-W28,166.11976,4.51018,681.691071,6.760241,43.259036,271.667,1.087667,336.25
1978-W29,156.071856,6.205988,680.127976,7.780357,41.285714,273.25,1.0505,335.55
1978-W30,168.481928,3.883735,681.831548,7.508537,48.481707,277.4,1.0938,334.82
1978-W31,141.494048,3.909524,681.88631,7.8,38.763636,267,1.11475,342.705
1978-W32,176.75625,4.345,681.671429,8.252976,51.154762,270,1.042,332.375
1978-W33,159.107143,3.036905,680.720238,7.772892,39.768293,266.75,1.1075,333.25
1978-W34,153.803571,3.516667,681.861905,7.424551,50.245509,263.25,1.114,333.42
1978-W35,157.034483,3.932414,682.29881,6.459524,58.190476,256,1.13825,333.445
1978-W36,163.45082,4.387705,681.31369,7.220958,34.005988,266,1.0405,331.25
1978-W37,149.154762,4.429167,681.535714,7.134132,35.808383,266.4,1.0734,331.815
1978-W38,200.473054,2.777844,681.103571,5.993373,40.915663,262.2,1.2044,331.985
1978-W39,145.505952,4.608333,682.075595,9.7,24.190476,257,1.10475,332.95
1978-W40,156.577381,3.091071,681.108333,7.266071,31.595238,261,1.129,335.75
1978-W41,214.712575,3.938922,681.116667,7.898788,34.769697,255,1.16575,331.435
1978-W42,195.511905,3.594643,681.095833,5.808982,48.724551,259,1.2188,344.67
1978-W43,174.809524,2.669643,681.004167,5.832727,51.321212,249.4,1.3524,332.555
1978-W44,198.511905,6.269048,679.154762,5.915854,67.469512,248.75,1.23775,333.4
1978-W45,225.785714,5.808333,679.095238,4.825749,64.922156,266.667,1.251,333.66
1978-W46,251.760479,3.010778,680.689881,3.887671,57.05988,257,1.314,333.27
1978-W47,194.047619,3.682738,680.064286,4.073077,49.553571,252,1.34125,333.885
1978-W48,173.589286,4.184524,680.382143,5.251807,33.512048,250.8,1.4514,333.675
1978-W49,173.738095,4.441667,681.691071,4.81131,48.958333,254.6,1.4138,333.785
1978-W50,161.678571,9.566667,681.321429,3.603247,16.922156,257.2,1.3718,333.93
1978-W51,207.934524,5.955952,678.745833,4.553968,15.712575,260,1.5426,335.21
1978-W52,228.035714,5.864881,677.97381,4.529167,16.172619,251,1.368,334.995
1979-W01,268.410714,5.60119,679.490476,5.057738,17.880952,257.25,1.36825,338.39
1979-W02,209.125749,6.031138,679.264286,5.161364,52.874251,247.25,1.42125,336.83
1979-W03,188.784431,4.361677,678.513095,2.35,56.880952,269.75,1.3705,336.075
1979-W04,200.722892,4.736747,677.890476,3.484058,45.766467,255.8,1.3022,336.745
1979-W05,228.077381,3.679167,679.572024,3.716832,37.964286,266.8,1.363,336.665
1979-W06,240.380952,5.717857,677.616667,2.774051,73.161677,254.667,1.381333,340.74
1979-W07,220.421687,4.686747,679.208929,3.297987,49.940476,251.2,1.2128,336.71
1979-W08,206.933735,4.393373,678.069048,3.157055,61.666667,263.333,1.175333,337.4
1979-W09,196.261905,2.504167,680.221429,3.928906,54.628743,277.4,1.302,337.285
1979-W10,165.357143,3.788095,680.864881,5.990323,30.493976,266.4,1.1148,341.895
1979-W11,204.416667,3.380952,680.250595,6.12963,36.652695,281.2,1.1086,338.625
1979-W12,216.386905,3.22619,680.012575,4.472441,44.577381,286.2,1.1094,339.5
1979-W13,232.160714,8.185714,677.144048,5.373494,28.704819,295.75,1.05875,339.485
1979-W14,193.363095,3.815476,681.142857,6.03642,35.325,292.8,1.1452,337.025
1979-W15,204.646707,7.594012,678.223214,7.593976,37.26506,288.4,1.0748,339.155
1979-W16,216.089286,4.960119,679.416071,4.646988,61.832335,286.5,1.159,338.49
1979-W17,238.666667,6.788095,677.814881,5.897561,26.511905,299.6,1.097,338.675
