year_week,value
1981-W45,339.355
1981-W46,338.78499999999997
1981-W47,339.1025
1981-W48,340.38925
1981-W49,340.025
1981-W50,339.8283333333333
1981-W51,340.34250000000003
1981-W52,340.7025
1981-W53,341.0625
1982-W01,340.8025
1982-W02,343.7735
1982-W03,341.16999999999996
1982-W04,341.8343333333333
1982-W05,342.69575
1982-W06,342.46000000000004
1982-W07,341.6
1982-W08,342.4925
1982-W09,343.60325
1982-W10,343.23924999999997
1982-W11,344.3643333333334
1982-W12,343.985
1982-W13,343.3533333333333
1982-W14,343.475
1982-W15,343.58075
1982-W16,344.76575
1982-W17,344.41659999999996
1982-W18,343.7725
1982-W19,343.26425
1982-W20,344.45233333333334
1982-W21,343.6225
1982-W22,343.31566666666663
1982-W23,343.26575
1982-W24,341.55925
1982-W25,341.16175
1982-W26,342.83074999999997
1982-W27,342.074
1982-W28,341.30575
1982-W29,341.27233333333334
1982-W30,341.4823333333333
1982-W31,340.35675000000003
1982-W32,344.73325
1982-W33,337.4235
1982-W34,337.23825
1982-W35,342.94
1982-W36,337.59575
1982-W37,338.40075
1982-W38,338.475
1982-W39,334.32325000000003
1982-W40,336.1176666666667
1982-W41,338.07
1982-W42,338.21000000000004
1982-W43,338.7925
1982-W44,338.56575
1982-W45,338.765
1982-W46,335.845
1982-W47,340.3185
1982-W48,338.771
1982-W49,340.9975
1982-W50,341.98075
1982-W51,342.22
1982-W52,340.641
1983-W01,341.63
1983-W02,342.90675
1983-W03,341.63425
1983-W04,342.32175
1983-W05,342.45666666666665
1983-W06,342.381
1983-W07,343.06666666666666
1983-W08,342.79925000000003
1983-W09,342.289
1983-W10,342.23825
1983-W11,344.131
1983-W12,342.89
1983-W13,343.475
1983-W14,344.874
1983-W15,345.97925
1983-W16,345.7
1983-W17,355.2925
1983-W18,345.855
1983-W19,345.725
1983-W20,346.32
1983-W21,346.2915
1983-W22,345.89075
1983-W23,345.98425
1983-W24,344.68399999999997
1983-W25,345.20716666666664
1983-W26,344.28499999999997
1983-W27,345.30875
1983-W28,343.9095
1983-W29,342.3343333333333
1983-W30,340.51
1983-W31,342.85571428571427
1983-W32,340.535
1983-W33,341.85625
1983-W34,340.767625
1983-W35,339.60450000000003
1983-W36,339.61285714285714
1983-W37,340.367875
1983-W38,339.624625
1983-W39,340.0638333333333
1983-W40,339.58875
1983-W41,339.70925
1983-W42,340.4895
1983-W43,341.11
1983-W44,340.198375
